id,de,en,description
P651,BPN,BPN,"Identifikationsnummer in der Datenbank des niederländischen Biografisch Portaal"
P652,UNII,UNII,"von der FDA definierter Identifikator für einzelne Inhaltsstoff chemischer Verbindungen"
P653,PubMed-Health,"PubMed Health","Identifikator für die PubMed-Health-Seite, die Artikel über medizinische Themen bereitstellt"
P657,RTECS-Nummer,"RTECS number","Identifikationsnummer in der Registry of Toxic Effects of Chemical Substances (Datenbank toxikologischer Informationen)"
P661,ChemSpider-ID,"ChemSpider ID","Datenbank chemischer Verbindungen"
P662,"PubChem-ID (CID)","PubChem ID (CID)","Datenbank von chemischen Verbindungen"
P665,"KEGG ID","KEGG ID","Datenbanken, die sich mit Genomen, enzymatische Wege und biologische Chemie beschäfftigt"
P668,GeneReviews-ID,"GeneReviews ID","Kennung in der GeneReviews-Datenbank"
P671,"Mouse Genome Informatics ID","Mouse Genome Informatics ID","Kennung in der Datenbank Mouse Genome Informatics"
P672,"MeSH Code","MeSH Code","Medical Subject Headings (MeSH)-Codes sind ein Index und Thesaurus für die Lebenswissenschaften (≠ MeSH ID)"
P673,eMedicine,eMedicine,
P675,"Google Books","Google Books identifier","Kennung in der Google-Books-Datenbank"
P677,"ÚSOP-Code","ÚSOP code","von drusop.nature.cz"
P683,ChEBI-ID,"ChEBI ID","Moleküldatenbank und -ontologie"
P685,NCBI-ID,"NCBI Taxonomy ID","Identifikator in der taxonomischen Datenbank des National Center for Biotechnology Information (NCBI)"
P686,Gene-Ontology-Identifikator,"Gene Ontology ID","ID in der Gene-Ontology-Datenbank"
P687,BHL-Seiten-ID,"BHL Page Id","Identifikator einer Seite in der Biodiversity Heritage Library (BHL)"
P691,NKCR,"NKC identifier","Datenbanklink zum Portal der Nationalbibliothek der Tschechischen Republik"
P698,"PubMed-ID (PMID)","PubMed ID","Identifikator für Artikel in der PubMed-Datenbank"
P699,Disease-Ontology-ID,"Disease Ontology ID","Kennung in der Disease-Ontology-Datenbank"
P701,Dodis-Nummer,Dodis,"Kennung in der Dodis-Datenbank (Diplomatische Dokumente der Schweiz 1945-1969)"
P704,Ensembl-Transkript-Identifikator,"Ensembl Transcript ID",
P705,Ensembl-Protein-Identifikator,"Ensembl Protein ID",
P709,Historic-Scotland-ID,"Historic Scotland ID",
P715,Drugbank-ID,"Drugbank ID","Kennung in der Drugbank-Datenbank"
P716,"JPL Small-Body Database ID","JPL Small-Body Database identifier","Kennung in der Datenbank JPL Small-Body Database"
P717,,"Minor Planet Center observatory code",
P718,Canmore-ID,"Canmore ID",
P721,OKATO-ID,"OKATO identifier","Code im Klassifizierungsschlüssel administrativer Objekte in Russland"
P722,"UIC internationale Bahnhofsnummer","UIC station code","UIC internationale Bahnhofsnummer"
P723,DBNL-ID,"DBNL ID",
P724,Internet-Archive-ID,"Internet Archive ID","eindeutige Identifikationsnummer eines Datenobjekts auf archive.org"
P727,Europeana-ID,"Europeana ID","europäische virtuelle Bibliothek"
P731,"Litholex Primärschlüssel","Litholex ID","Lithostratigraphische Datenbank für Deutschland und gewartet von der BGR"
P732,BGS-Lexikon-ID,"BGS Lexicon ID","Identifikator im lithostratigraphischen Lexikon der britischen geologischen Bundesanstalt"
P733,DINOloket,"DINOloket ","Datenbank der niederländischen geologischen Einheiten (Data Informatie Nederlandse Ondergrond)"
P745,PBB-ID,"Low German Bibliography and Biography ID","Plattdeutsche Biblio- und Biographie"
P758,"Kulturminne identifier","Kulturminne identifier","Kennung in der Kulturminne-Datenbank der Riksantikvaren"
P759,,"Alberta Register of Historic Places identifier",
P764,OKTMO-ID,"OKTMO identifier","Code im Klassifizierungsschlüssel munizipaler Gebilde in Russland"
P771,"Gemeindenummer in der Schweiz","Swiss municipality code","Nummer des Bundesamtes für Statistik (BFS) in der Schweiz"
P774,"FIPS 55-3 (Orte in USA)","FIPS 55-3 (locations in the US)",
P782,LAU,LAU,"staatliche administrative Hierarchieebene, EU (ehemals NUTS-4 und NUTS-5)"
P791,ISIL-ID,"ISIL ID","Internationale Kennung für Bibliotheken und verwandte Organisationen"
P804,GNIS-Antarctica-ID,"GNIS Antarctica ID","Identifikationsnummer in der Antarktika-Datenbank des GNIS"
P806,"italienische Kataster-ID","Italian cadastre code",
P808,,"code Bien de Interés Cultural",
P809,WDPA-ID,"WDPA id","Nummer in der Weltdatenbank über geschützte Gebiete (World Database on Protected Areas)"
P815,ITIS-TSN,"ITIS TSN","die vom Integrated Taxonomic Information System (ITIS) vergebene Taxonomic Serial Number (TSN)"
P818,"arXiv ID","arXiv eprint identifier","Identificationsqode im ArXive-Archiv"
P819,,"ADS bibcode",
P821,,"CGNDB Unique Identifier",
P824,Meteoritical-Bulletin-Identifikator,"Meteoritical Bulletin Database ID",
P827,,"BBC program identifier",
P829,OEIS-ID,"OEIS ID","Enzyklopädie der Integer-Sequenzen"
P830,EOL-ID,"Encyclopedia of Life ID","Identifikator in der Encyclopedia of Life (EOL)"
P838,BioLib-ID,"BioLib ID","Identifikator in der Biological Library (BioLib)"
P839,IMSLP-ID,"IMSLP ID","Identifikationsnummer des Internationalen Notenbibliothek-Projekts"
P842,Fossilworks-ID,"Fossilworks ID","Identifikator für fossile Tiere, Pflanzen, und Mikroorganismen"
P843,"SIRUTA Code","SIRUTA code",
P845,"Sawkatchewan'sches Kulturgüterverzeichnis","Saskatchewan Register of Heritage Property identifier",
P846,GBIF-ID,"Global Biodiversity Information Facility ID","Identifikator bei der Global Biodiversity Information Facility (GBIF)"
P850,WoRMS-ID,"World Register of Marine Species identifier","Kennung im World Register of Marine Species"
P854,URL,"reference URL","z. B. für Einzelnachweise"
P858,"ESPN SCRUM ID","ESPN SCRUM ID","Identifikation internationaler Rugby-Spieler von der website www.espnscrum.com"
P860,,"e-archiv.li ID",
P861,"premiershiprugby.com ID","premiershiprugby.com ID",
P863,,"InPhO identifier ",
P864,,"ACM Digital Library author identifier",
P865,BMLO,BMLO,
P866,Perlentaucher,"Perlentaucher ID","Deeplinks auf das gleichnamige Onlinemagazin für Literatur und Kultur"
P867,ROME-Berufscode,"ROME Occupation Code (v3)","ROME-Code für einen Beruf, mit einem Buchstaben und vier Nummern"
P882,"FIPS 6-4 (counties in USA)","FIPS 6-4 (US counties)",
P884,"Russische Gewässerkennzahl","State Water Register Code (Russia)",
P886,,LIR,
P888,JSTOR,"JSTOR article ID",
P889,,"Mathematical Reviews identifier",
P892,RFC,"Request for Comments identifier",
P893,,"Social Science Research Network ID",
P902,"Artikelnummer im HLS",HDS,"Identifikationsnummer im Historischen Lexikon der Schweiz"
P906,SELIBR,SELIBR,"Normdatei des schwedischen Verbundkatalogs LIBRIS"
P907,"AMG Spiele ID","AMG Game ID",
P909,,"Nova Scotia Register of Historic Places identifier",
P911,"Südafrikanischer Gemeinde-Code","South African municipality code",
P920,,"Spanish subject headings for public libraries",
P933,,"heritagefoundation.ca ID",
P935,Commons-Galerie,"Commons gallery","Name der Galerieseite(n) auf Wikimedia Commons mit Dateien zu dem Objekt (item)"
P938,FishBase-ID,"FishBase species identifier","Identifikator bei FishBase"
P939,"KSH Code","KSH code",
P946,ISIN,ISIN,"International Securities Identification Number"
P947,RSL,"RSL identifier","Normdatennummer der Russischen Staatsbibliothek (RSL)"
P949,"NLI (Israel)","NLI (Israel) identifier","Normdatei der Israelischen Nationalbibliothek (National Library of Israel)"
P950,BNE,"BNE identifier","Normdatei der Spanischen Nationalbibliothek (Biblioteca Nacional de España)"
P951,NSZL,"NSZL identifier","Normdatei der Széchényi-Nationalbibliothek (Ungarn)"
P957,ISBN-10,ISBN-10,"Internationale Standardbuchnummer (Nachfolger: ISBN-13, s. P212)"
P959,MSW-ID,"MSW species identifier","Identifikator in der taxonomische Datenbank für Säugetiere Mammal Species of the World"
P960,Tropicos-ID,"Tropicos taxon name identifier","Identifikator für einen wissenschaftlichen Namen eines Taxons bei Tropicos"
P961,IPNI-TaxonName-ID,"IPNI taxon name identifier","Identifikator für den wissenschaftlichen Namen eines Taxons im International Plant Names Index (IPNI)"
P962,MycoBank-ID,"MycoBank taxon name identifier","Identifikator für den wissenschaftlichen Namen eines Taxons bei der MycoBank"
P964,"Gemeindekennziffer in Österreich","Austrian municipality key","Ziffernfolge zur Identifizierung politischer Gemeinden in Österreich"
P966,MusicBrainz-Label-ID,"MusicBrainz label ID","Identifikationsnummer des Labels in der Musikdatenbank MusicBrainz"
P982,MusicBrainz-Gebiets-ID,"MusicBrainz area ID","Identifikationsnummer des Gebiets in der Musikdatenbank MusicBrainz"
P998,dmoz,dmoz,"Open Directory Project"
P1003,"NLR (Rumänien)","NLR (Romania) identifier","Normdatei der Rumänischen Nationalbibliothek (Biblioteca Națională a României)"
P1004,MusicBrainz-Location-ID,"MusicBrainz place ID","Identifikationsnummer des Veranstaltungsortes oder Studios in MusicBrainz"
P1005,PTBNP,"PTBNP identifier","Normdatei der Portugiesischen Nationalbibliothek (Biblioteca Nacional de Portugal)"
P1006,NTA-Nummer,"NTA identifier (Netherlands)","Normdatei der Königlichen Bibliothek der Niederlande"
P1014,"Art & Architecture Thesaurus ID","Art & Architecture Thesaurus ID","ID im Art & Architecture Thesaurus des Getty Research Institute"
P1015,BIBSYS,"BIBSYS identifier","Normdatei des norwegischen Bibliotheksdienstes"
P1017,"BAV (Vatikan)","BAV (Vatican Library) identifier","Normdatei der Vatikanischen Apostolischen Bibliothek (lat. ""Bibliotheca Apostolica Vaticana"")"
P1024,,"SBFI occupation code",
P1025,"SUDOC Editionen","SUDOC editions","Eintrag im französischen Verbundkatalog für Bücher und andere Medien (s. auch P269)"
P1036,DDC,"Dewey Decimal Classification","Klassifikation für die inhaltliche Erschließung (Verwendung mit dem Qualifikator P747: Ausgabe)"
P1042,ZDB-ID,"ZDB identifier","Datensatz der Zeitschriftendatenbank"
P1043,"IDEO Job ID","IDEO Job ID",
P1044,"SWB Online-Katalog","SWB editions","Link zum Katalog des Südwestdeutschen Bibliotheksverbundes"
P1045,Sycomore-ID,"Sycomore ID","Identifikationsummer einer Person in der Sycomore-Datenbank der französischen Nationalversammlung"
P1047,Katholische-Hierarchie-ID,"Catholic Hierarchy ID","ID einer Person auf  catholic-hierarchy.org"
P1048,"NCL (Taiwan)","NCL identifier","Normdateneintrag in der Nationalbibliothek Taiwans (National Central Library)"
P1051,PSH-ID,"PSH ID","Identifikator für die Datenbank der Tschechischen Technischen Bibliothek"
P1053,ResearcherID,ResearcherID,
P1054,"NDL Editionen","NDL editions","Katalogeintrag in der Nationalen Parlamentsbibliothek (NDL) Japans für Bücher und andere Medien (s. auch P349)"
P1055,NLM-ID,"NLM ID","Katalog der US-amerikanischen Medizinischen Nationalbibliothek (NLM)"
P1058,ERA-Journal-ID,"ERA Journal ID",
P1059,CVR,CVR,"Nummer im dänischen Centrale Virksomhedsregister für Organisationen"
P1067,"thailändische Verwaltungsstrukturkennziffer","Thailand central administrative unit code","numerischer Code der Verwaltungseinheiten Thailands"
P1070,PlantList-ID,PlantList-ID,"Identifikator für den wissenschaftlichen Namen eines Taxons in der Datenbank „The Plant List“"
P1076,ICTV-ID,"ICTV virus ID","Identifikator des Virus beim International Committee on Taxonomy of Viruses"
P1077,KOATUU-Schlüssel,"KOATUU identifier","Schlüssel zur Klassifizierung administrativer Objekte der Ukraine"
P1084,"EUL Katalog","EUL editions","Verbundkatalog der ägyptischen Universitätsbibliotheken"
P1085,LibraryThing-Werk-ID,"LibraryThing work identifier","numerische Buch-Kennung des gleichnamigen Literaturverwaltungsprogramms"
P1115,ATVK-ID,"ATVK ID","Identifikator für Verwaltungseinheiten in Lettland"
P1133,DGO4-Nummer,"DGO4 identifier",
P1138,"Kunstindex Danmark","Kunstindeks Danmark",
P1144,"LoC Editionen","LCOC LCCN (bibliographic)","Katalogeintrag in der Library of Congress (LoC) für Bücher und andere Medien (s. auch P244)"
P1146,IAAF-ID,"IAAF ID",
P1150,RVK-Notation,"Regensburg Classification","Klassifikation für die inhaltliche Erschließung"
P1153,Scopus-Autor-ID,"Scopus Author ID",
P1156,Scopus-Quelle-ID,"Scopus Source ID",
P1159,CODEN,CODEN,
P1160,,"ISO 4 abbreviation",
P1182,"LIBRIS Editionen","LIBRIS editions","ID für Objekte im Libris Katalog über spezifische Bücher"
P1184,,handle,
P1185,Rodovid-ID,"Rodovid ID","Personen ID auf der Webseite rodovid.org"
P1190,"Universelle Dezimalklassifikation","Universal Decimal Classification","Klassifikation für die inhaltliche Erschließung"
P1207,"NUKAT Normdaten","NUKAT authorities","Normdateneintrag im polnischen Verbundkatalog NUKAT"
P1212,"Atlas ID","Atlas ID","ID in der Atlas Datenbank des Louvre Museums"
P1216,"Listennummer der Organisation für Denkmalschutz in England","English Heritage list number",
P1220,"Internet Broadway Database Personen ID","Internet Broadway Database person ID",
P1222,NARA-Personen-ID,"NARA person ID",
P1223,NARA-Organisationen-ID,"NARA organization ID",
P1224,NARA-Geographikum-ID,"NARA geographic ID",
P1225,,"NARA topical subject ID",
P1226,"NARA Spezifischer Dokumententyp ID","NARA specific records type ID",
P1229,Openpolis-ID,"Openpolis ID","ID in Openpolis, eine Datenbank über italienische Politiker"
P1231,,"NARA catalogue record ID",
P1232,,"Linguist list code",
P1237,"Box Office Mojo Film ID","Box Office Mojo film ID","ID für einen Film auf der Webseite Box Office Mojo"
P1238,,"Swedish Football Association ID",
P1245,"Bedeutungsdefinition in OmegaWiki","OmegaWiki Defined Meaning","""DefinedMeaning""-Kennzeichnungsnummer in OmegaWiki"
P1250,,"Danish Bibliometric Research Indicator (BFI) SNO/CNO",
P1256,"Iconclass ID","Iconclass notation","Kennung des ikonographischen Themas"
P1258,"Rotten Tomatoes ID","Rotten Tomatoes ID","ID in Rotten Tomatoes, Präfix ""m/"" für Filme, ""tv/"" für TV Serien und ""celebrity/"" für berühmte Personen"
P1273,CANTIC,CANTIC,
P1284,"Munzinger Personen","Munzinger IBA","Internationales Biographisches Archiv im Verlag Munzinger-Archiv"
P1285,"Munzinger Sport","Munzinger Sport","Internationales Sportarchiv im Verlag Munzinger-Archiv"
P1286,"Munzinger Pop","Munzinger Pop","Pop-Archiv International im Verlag Munzinger-Archiv"
P1287,"Komponisten der Gegenwart","KDG Komponisten der Gegenwart",
P1288,"Kritisches Lexikon der Gegenwartsliteratur","KLG Kritisches Lexikon der Gegenwartsliteratur",
